Round, Selected Clients
0, 7, 8, 6, 3, 1
1, 9, 2, 0, 1, 5
2, 2, 6, 0, 5, 4
3, 3, 2, 1, 0, 7
4, 5, 7, 9, 6, 0
5, 7, 3, 1, 8, 9
6, 9, 0, 4, 7, 3
7, 3, 9, 8, 2, 1
8, 7, 4, 1, 9, 5
9, 2, 1, 7, 9, 4
10, 1, 3, 5, 0, 7
11, 8, 3, 1, 5, 2
12, 5, 0, 8, 4, 7
13, 1, 9, 7, 3, 6
14, 4, 8, 6, 2, 5
15, 8, 4, 5, 0, 1
16, 3, 2, 0, 1, 9
17, 9, 0, 1, 6, 7
18, 1, 7, 0, 3, 5
19, 9, 6, 4, 8, 5
20, 1, 3, 6, 7, 2
21, 3, 9, 7, 5, 2
22, 8, 6, 3, 9, 2
23, 9, 0, 4, 1, 6
24, 8, 7, 1, 9, 4
25, 8, 7, 3, 5, 9
26, 6, 4, 2, 9, 3
27, 5, 4, 2, 8, 1
28, 9, 8, 6, 5, 2
29, 5, 6, 8, 2, 0
30, 8, 9, 7, 2, 4
31, 9, 4, 5, 0, 8
32, 0, 1, 4, 8, 9
33, 8, 9, 1, 3, 5
34, 0, 7, 2, 8, 4
35, 1, 6, 7, 2, 9
36, 6, 1, 2, 0, 9
37, 0, 4, 3, 8, 9
38, 3, 1, 7, 0, 6
39, 4, 6, 2, 3, 1
40, 5, 4, 3, 7, 6
41, 1, 7, 5, 4, 0
42, 2, 7, 8, 1, 6
43, 5, 9, 0, 8, 1
44, 2, 6, 0, 5, 3
45, 3, 7, 4, 6, 5
46, 5, 1, 4, 3, 8
47, 4, 5, 7, 6, 2
48, 8, 3, 2, 7, 0
49, 1, 0, 8, 6, 3
50, 7, 4, 3, 1, 6
51, 2, 0, 6, 1, 7
52, 4, 3, 5, 6, 7
53, 3, 8, 9, 7, 2
54, 8, 6, 4, 0, 2
55, 9, 2, 7, 3, 1
56, 8, 9, 1, 7, 3
57, 2, 1, 8, 5, 7
58, 2, 3, 1, 5, 6
59, 8, 3, 2, 5, 7
60, 5, 6, 3, 7, 0
61, 7, 5, 6, 1, 9
62, 6, 3, 4, 1, 2
63, 8, 0, 6, 4, 7
64, 3, 4, 6, 1, 5
65, 3, 7, 6, 8, 0
66, 6, 3, 8, 4, 0
67, 3, 8, 9, 6, 4
68, 5, 4, 7, 0, 2
69, 0, 3, 5, 1, 8
70, 2, 6, 8, 9, 1
71, 5, 6, 0, 8, 7
72, 2, 4, 5, 7, 9
73, 0, 9, 5, 7, 1
74, 4, 2, 6, 0, 5
75, 0, 2, 4, 7, 9
76, 5, 1, 0, 4, 9
77, 1, 4, 0, 8, 6
78, 3, 9, 7, 6, 0
79, 3, 2, 0, 7, 1
80, 0, 8, 9, 7, 5
81, 8, 7, 1, 4, 2
82, 4, 8, 2, 0, 1
83, 8, 5, 0, 7, 2
84, 9, 4, 1, 3, 2
85, 3, 8, 7, 6, 9
86, 6, 0, 7, 5, 1
87, 5, 3, 1, 8, 6
88, 6, 2, 7, 3, 4
89, 1, 2, 6, 3, 5
90, 3, 2, 9, 1, 7
