Round,Selected Clients
1,1,0,4,9,6,5,8,2
2,8,3,6,1,9,4,2,0
3,1,6,9,2,8,4,5,0
4,9,5,3,8,0,6,1,7
5,5,9,3,8,2,0,1,6
6,3,0,5,9,2,8,1,7
7,3,8,4,5,7,9,6,1
8,6,1,9,3,4,7,2,5
9,7,0,4,9,1,6,8,2
10,0,1,5,6,2,8,9,3
11,4,8,6,1,9,7,2,5
12,0,8,3,4,1,9,6,2
13,7,3,2,5,4,6,8,0
14,6,7,0,5,9,8,4,1
15,2,4,7,1,0,3,5,8
16,6,0,2,3,8,9,7,1
17,9,8,0,5,2,7,4,6
18,6,1,3,4,9,0,5,8
19,4,7,5,6,0,8,3,2
20,5,4,2,3,8,7,0,9
21,4,3,5,1,7,2,8,6
22,4,2,7,9,5,3,0,6
23,4,5,0,2,1,8,7,9
24,5,6,3,2,1,0,7,4
25,0,3,6,2,7,9,5,1
26,1,6,5,7,2,3,0,9
27,1,5,8,7,0,2,4,3
28,2,4,6,8,0,9,7,5
29,1,4,5,0,9,2,7,6
30,9,3,6,8,7,1,4,2
31,1,7,2,6,3,4,8,9
32,8,7,3,2,9,0,6,4
33,2,3,1,8,6,9,5,7
34,5,4,6,7,3,8,1,9
35,2,7,9,4,6,0,3,8
36,6,5,3,7,2,8,9,1
37,1,0,8,9,6,7,5,4
38,9,1,2,7,0,4,5,8
39,9,0,5,4,3,2,8,6
40,2,6,9,5,4,7,3,1
41,7,6,5,0,3,2,1,9
42,1,3,6,8,4,9,7,2
43,4,5,7,9,6,2,3,8
44,3,5,1,8,4,7,6,0
45,2,4,0,5,8,1,9,7
46,7,9,5,1,0,2,3,8
47,1,3,9,4,8,6,7,2
48,3,9,4,5,0,1,7,6
49,3,4,8,5,9,0,1,6
50,0,2,4,7,5,6,8,1
51,9,0,6,5,2,4,7,8
52,4,2,6,5,3,0,7,1
53,4,6,0,3,7,2,9,1
54,9,7,8,6,0,1,2,3
55,4,8,0,9,3,7,1,6
56,7,3,9,4,1,8,5,2
57,4,7,2,3,9,6,8,1
58,0,5,7,8,3,6,1,4
59,2,6,9,0,3,7,4,5
60,3,4,9,5,0,7,6,2
61,4,5,8,3,1,7,6,2
62,3,7,4,9,2,0,6,1
63,4,3,6,7,8,0,1,5
64,9,7,4,6,1,8,2,0
65,9,5,2,0,7,8,3,6
66,5,1,7,0,8,9,3,2
67,4,6,5,0,7,1,3,8
68,0,9,4,3,8,5,1,2
69,7,6,4,0,5,2,1,3
70,4,3,1,6,8,0,7,2
71,9,3,8,2,1,4,0,5
72,5,3,9,0,1,2,6,8
73,8,3,0,5,6,4,2,1
74,1,9,5,4,8,0,7,3
75,6,7,3,8,2,9,4,1
76,1,9,8,0,3,6,2,4
77,9,4,5,0,8,7,1,6
78,6,8,0,4,5,2,7,3
79,1,2,0,7,5,4,9,3
80,0,2,8,6,4,9,5,1
81,5,6,1,2,9,4,3,8
82,3,2,4,8,6,0,7,1
83,0,6,9,3,7,2,8,4
84,9,7,5,0,3,6,1,8
85,1,8,9,4,6,7,2,5
86,1,2,7,3,4,5,6,8
87,4,0,5,9,8,2,3,1
88,9,8,0,3,4,1,2,6
89,0,3,7,8,4,5,1,6
90,5,1,6,2,7,4,8,3
91,8,6,5,9,1,4,0,2
92,7,3,8,1,6,0,2,4
93,7,0,6,2,5,1,3,9
94,9,7,8,6,2,3,4,0
95,4,1,2,7,3,9,8,5
96,8,5,3,7,0,2,1,9
97,2,7,8,4,0,5,6,1
98,0,3,6,5,4,8,9,7
99,3,6,2,5,8,0,7,4
100,5,1,9,8,7,0,2,4
101,1,7,0,2,9,8,5,4
102,5,0,9,2,8,6,3,1
103,1,6,9,3,4,7,2,5
104,7,5,9,0,8,2,3,1
105,0,2,1,7,5,8,4,6
106,8,5,6,2,9,7,1,0
107,3,4,7,1,0,6,5,8
108,2,9,5,4,1,0,7,6
109,1,4,6,5,7,3,8,9
110,8,2,9,3,4,0,5,7
111,1,4,3,5,8,2,9,6
112,1,0,4,5,9,7,3,2
113,7,1,0,8,3,5,4,6
114,5,8,1,2,7,3,0,9
115,3,2,5,4,7,8,1,0
116,8,7,3,1,4,2,0,9
117,4,5,6,2,0,3,8,7
118,2,1,6,9,7,4,5,0
119,8,7,2,4,6,1,9,3
120,0,5,8,7,9,3,2,4
121,2,3,0,4,5,7,1,6
122,0,2,3,4,8,7,6,1
123,4,8,9,1,2,5,6,7
124,6,5,2,7,0,9,8,1
125,1,3,8,0,5,4,9,2
126,0,8,2,3,5,6,4,7
127,2,6,9,0,3,5,1,7
128,8,9,7,1,4,3,2,0
129,4,3,2,9,5,8,6,7
130,3,0,4,9,1,6,2,5
131,4,2,6,5,9,8,0,7
132,9,5,6,8,4,3,1,0
133,2,5,7,0,8,1,3,6
134,4,0,6,2,8,1,5,3
135,6,2,8,9,5,3,7,1
136,8,6,2,5,1,0,4,9
137,4,3,1,0,5,8,6,9
138,6,7,3,4,1,0,5,2
139,6,4,8,0,7,5,1,2
140,2,4,6,1,8,3,7,0
141,3,4,9,2,5,0,7,1
142,9,8,3,7,1,2,4,0
143,8,5,4,3,6,7,2,1
144,5,9,6,0,4,1,8,7
145,9,3,7,4,5,2,6,1
146,8,0,9,6,7,5,4,1
147,0,7,8,9,6,4,3,5
148,8,2,3,1,4,5,9,6
149,4,1,0,7,3,5,9,2
150,9,1,0,8,6,4,3,5
151,9,2,6,0,8,1,4,5
152,6,3,1,2,4,5,8,7
153,2,6,1,8,4,9,7,5
154,5,1,8,0,2,3,9,7
155,0,1,5,4,9,6,2,8
156,2,9,4,8,6,3,1,0
157,4,3,7,9,6,1,8,0
158,5,6,2,7,8,4,1,3
159,6,4,9,2,0,8,1,7
160,7,2,4,1,8,6,3,9
161,1,3,5,9,7,4,0,2
162,8,9,3,7,2,6,4,5
163,1,2,5,8,6,3,9,7
164,4,0,1,8,2,6,7,5
165,2,9,6,3,0,4,1,7
166,8,2,5,9,1,3,0,7
167,9,2,4,7,6,0,1,3
168,6,2,9,3,1,7,5,8
169,5,0,7,1,6,3,4,9
170,4,0,9,1,7,2,6,3
171,6,1,3,2,0,7,9,8
172,9,2,3,6,1,0,8,7
173,6,0,4,9,5,1,7,8
