Round, Selected Clients
0, 6, 0, 4, 8, 3
1, 6, 9, 7, 4, 1
2, 8, 9, 5, 2, 4
3, 7, 8, 4, 1, 5
4, 8, 0, 4, 6, 9
5, 4, 6, 0, 5, 9
6, 6, 2, 0, 8, 3
7, 9, 1, 8, 5, 4
8, 1, 5, 3, 4, 7
9, 3, 8, 2, 9, 7
10, 2, 4, 9, 5, 8
11, 9, 1, 5, 4, 7
12, 6, 8, 1, 3, 5
13, 4, 0, 7, 9, 2
14, 0, 4, 6, 5, 9
15, 0, 6, 5, 2, 8
16, 7, 3, 4, 9, 1
17, 0, 3, 6, 8, 4
18, 6, 3, 5, 2, 9
19, 9, 3, 6, 1, 7
20, 4, 5, 6, 7, 3
21, 1, 8, 9, 5, 4
22, 1, 5, 9, 6, 7
23, 3, 4, 6, 0, 2
24, 4, 5, 2, 6, 7
25, 4, 9, 8, 5, 2
26, 3, 7, 5, 8, 4
27, 7, 2, 5, 6, 4
28, 1, 2, 3, 5, 0
29, 0, 4, 5, 7, 6
30, 3, 2, 6, 8, 4
31, 2, 7, 5, 9, 0
32, 2, 6, 5, 4, 7
33, 3, 1, 9, 0, 2
34, 4, 1, 3, 5, 8
35, 4, 6, 2, 0, 9
36, 8, 2, 9, 6, 3
37, 1, 4, 8, 2, 9
38, 7, 8, 2, 1, 9
39, 4, 1, 7, 3, 0
40, 0, 1, 7, 5, 6
41, 1, 6, 2, 5, 8
42, 6, 5, 7, 0, 1
43, 4, 7, 6, 2, 5
44, 2, 8, 7, 9, 6
45, 5, 6, 7, 9, 1
46, 4, 1, 2, 8, 9
47, 3, 5, 0, 1, 9
48, 8, 4, 3, 1, 0
49, 2, 3, 7, 8, 5
50, 3, 8, 6, 4, 9
51, 6, 5, 9, 1, 4
52, 1, 3, 7, 9, 0
53, 3, 5, 7, 2, 6
54, 3, 2, 4, 9, 7
55, 3, 9, 2, 5, 7
56, 3, 1, 7, 2, 0
57, 0, 2, 3, 8, 4
58, 8, 5, 0, 1, 2
59, 5, 4, 8, 3, 2
60, 3, 7, 0, 5, 2
61, 5, 4, 9, 8, 0
62, 0, 5, 6, 1, 7
63, 0, 1, 3, 2, 7
64, 7, 4, 0, 9, 3
65, 2, 9, 1, 0, 4
66, 8, 3, 2, 6, 5
67, 4, 9, 2, 8, 0
68, 1, 4, 7, 9, 0
69, 0, 4, 2, 9, 6
70, 5, 7, 4, 2, 1
71, 7, 1, 3, 9, 8
72, 0, 7, 3, 4, 5
73, 5, 0, 4, 1, 2
