Round,SelectedClients
0,2 3 9 4 6
1,3 1 0 2 4
2,5 1 3 0 8
3,3 5 8 0 2
4,4 2 8 5 0
5,1 6 4 2 7
6,2 8 7 6 3
7,0 5 1 7 8
8,0 5 8 2 4
9,2 5 6 8 4
10,7 6 0 5 8
11,8 6 5 1 0
12,1 0 4 3 2
13,4 0 8 7 2
14,7 4 6 3 0
15,9 2 8 0 5
16,6 5 1 0 2
17,9 1 3 4 5
18,6 7 1 4 3
19,7 5 0 6 9
20,2 7 5 0 1
21,5 7 6 8 0
22,9 2 5 7 0
23,9 6 8 0 2
24,6 4 2 1 0
25,9 5 8 0 7
26,2 0 7 4 6
27,3 2 1 7 8
28,9 5 2 3 1
29,9 1 7 5 3
30,1 3 6 0 5
31,6 9 7 3 5
32,4 2 9 3 7
33,6 8 0 4 5
34,5 2 8 4 9
35,0 8 7 2 1
36,3 1 2 6 5
37,9 4 3 8 5
38,1 5 8 9 6
39,1 0 9 7 4
40,8 6 4 0 7
41,7 2 8 0 4
42,3 1 0 9 5
43,2 3 8 5 0
44,8 9 5 3 6
45,0 9 7 5 3
46,3 2 9 5 7
47,0 8 6 7 2
48,0 1 2 8 7
49,4 0 6 9 5
50,7 6 8 5 0
51,4 6 3 2 0
52,7 1 2 0 8
53,6 5 0 7 3
54,9 8 3 2 6
55,3 5 4 0 1
56,2 7 3 9 6
57,3 9 5 0 1
58,2 6 4 5 0
59,3 5 1 9 7
60,5 4 3 0 7
61,7 2 0 8 6
62,6 2 9 5 0
63,0 3 2 5 7
64,5 8 4 7 6
65,5 9 3 1 2
66,8 2 9 4 7
67,4 6 2 9 1
68,9 8 0 2 4
69,9 3 1 4 6
70,9 3 6 5 2
71,4 3 8 9 6
72,2 9 3 5 0
73,4 6 5 3 9
74,4 8 3 6 5
75,9 4 1 8 2
76,3 1 4 0 6
77,6 2 0 1 9
78,0 4 3 7 6
79,9 6 1 5 3
80,5 0 1 7 8
81,7 5 6 8 0
82,6 7 9 2 3
83,0 1 3 9 5
84,2 7 0 3 8
85,9 0 6 5 1
86,1 2 0 6 7
87,6 4 0 5 9
88,9 0 8 3 7
89,0 2 8 4 1
