Round,NumSelected,BytesDown,BytesUp,BytesTotal,MBTotal
0,5,382920,382920,765840,0.730362
1,5,382920,382920,765840,0.730362
2,5,382920,382920,765840,0.730362
3,5,382920,382920,765840,0.730362
4,5,382920,382920,765840,0.730362
5,5,382920,382920,765840,0.730362
6,5,382920,382920,765840,0.730362
7,5,382920,382920,765840,0.730362
8,5,382920,382920,765840,0.730362
9,5,382920,382920,765840,0.730362
10,5,382920,382920,765840,0.730362
11,5,382920,382920,765840,0.730362
12,5,382920,382920,765840,0.730362
13,5,382920,382920,765840,0.730362
14,5,382920,382920,765840,0.730362
15,5,382920,382920,765840,0.730362
16,5,382920,382920,765840,0.730362
17,5,382920,382920,765840,0.730362
18,5,382920,382920,765840,0.730362
19,5,382920,382920,765840,0.730362
20,5,382920,382920,765840,0.730362
21,5,382920,382920,765840,0.730362
22,5,382920,382920,765840,0.730362
23,5,382920,382920,765840,0.730362
24,5,382920,382920,765840,0.730362
25,5,382920,382920,765840,0.730362
26,5,382920,382920,765840,0.730362
27,5,382920,382920,765840,0.730362
28,5,382920,382920,765840,0.730362
29,5,382920,382920,765840,0.730362
30,5,382920,382920,765840,0.730362
31,5,382920,382920,765840,0.730362
32,5,382920,382920,765840,0.730362
33,5,382920,382920,765840,0.730362
34,5,382920,382920,765840,0.730362
35,5,382920,382920,765840,0.730362
36,5,382920,382920,765840,0.730362
37,5,382920,382920,765840,0.730362
38,5,382920,382920,765840,0.730362
39,5,382920,382920,765840,0.730362
40,5,382920,382920,765840,0.730362
41,5,382920,382920,765840,0.730362
42,5,382920,382920,765840,0.730362
43,5,382920,382920,765840,0.730362
44,5,382920,382920,765840,0.730362
45,5,382920,382920,765840,0.730362
46,5,382920,382920,765840,0.730362
47,5,382920,382920,765840,0.730362
48,5,382920,382920,765840,0.730362
49,5,382920,382920,765840,0.730362
50,5,382920,382920,765840,0.730362
51,5,382920,382920,765840,0.730362
52,5,382920,382920,765840,0.730362
53,5,382920,382920,765840,0.730362
54,5,382920,382920,765840,0.730362
55,5,382920,382920,765840,0.730362
56,5,382920,382920,765840,0.730362
57,5,382920,382920,765840,0.730362
58,5,382920,382920,765840,0.730362
59,5,382920,382920,765840,0.730362
60,5,382920,382920,765840,0.730362
61,5,382920,382920,765840,0.730362
62,5,382920,382920,765840,0.730362
63,5,382920,382920,765840,0.730362
64,5,382920,382920,765840,0.730362
65,5,382920,382920,765840,0.730362
66,5,382920,382920,765840,0.730362
67,5,382920,382920,765840,0.730362
68,5,382920,382920,765840,0.730362
69,5,382920,382920,765840,0.730362
70,5,382920,382920,765840,0.730362
71,5,382920,382920,765840,0.730362
72,5,382920,382920,765840,0.730362
73,5,382920,382920,765840,0.730362
74,5,382920,382920,765840,0.730362
75,5,382920,382920,765840,0.730362
76,5,382920,382920,765840,0.730362
77,5,382920,382920,765840,0.730362
78,5,382920,382920,765840,0.730362
79,5,382920,382920,765840,0.730362
80,5,382920,382920,765840,0.730362
81,5,382920,382920,765840,0.730362
82,5,382920,382920,765840,0.730362
83,5,382920,382920,765840,0.730362
84,5,382920,382920,765840,0.730362
85,5,382920,382920,765840,0.730362
86,5,382920,382920,765840,0.730362
87,5,382920,382920,765840,0.730362
88,5,382920,382920,765840,0.730362
89,5,382920,382920,765840,0.730362
90,5,382920,382920,765840,0.730362
91,5,382920,382920,765840,0.730362
92,5,382920,382920,765840,0.730362
93,5,382920,382920,765840,0.730362
94,5,382920,382920,765840,0.730362
95,5,382920,382920,765840,0.730362
96,5,382920,382920,765840,0.730362
97,5,382920,382920,765840,0.730362
98,5,382920,382920,765840,0.730362
99,5,382920,382920,765840,0.730362
100,5,382920,382920,765840,0.730362
101,5,382920,382920,765840,0.730362
102,5,382920,382920,765840,0.730362
103,5,382920,382920,765840,0.730362
104,5,382920,382920,765840,0.730362
105,5,382920,382920,765840,0.730362
106,5,382920,382920,765840,0.730362
107,5,382920,382920,765840,0.730362
108,5,382920,382920,765840,0.730362
109,5,382920,382920,765840,0.730362
110,5,382920,382920,765840,0.730362
111,5,382920,382920,765840,0.730362
112,5,382920,382920,765840,0.730362
113,5,382920,382920,765840,0.730362
114,5,382920,382920,765840,0.730362
115,5,382920,382920,765840,0.730362
116,5,382920,382920,765840,0.730362
117,5,382920,382920,765840,0.730362
118,5,382920,382920,765840,0.730362
119,5,382920,382920,765840,0.730362
120,5,382920,382920,765840,0.730362
121,5,382920,382920,765840,0.730362
122,5,382920,382920,765840,0.730362
123,5,382920,382920,765840,0.730362
124,5,382920,382920,765840,0.730362
125,5,382920,382920,765840,0.730362
126,5,382920,382920,765840,0.730362
127,5,382920,382920,765840,0.730362
128,5,382920,382920,765840,0.730362
129,5,382920,382920,765840,0.730362
130,5,382920,382920,765840,0.730362
131,5,382920,382920,765840,0.730362
132,5,382920,382920,765840,0.730362
133,5,382920,382920,765840,0.730362
134,5,382920,382920,765840,0.730362
135,5,382920,382920,765840,0.730362
136,5,382920,382920,765840,0.730362
137,5,382920,382920,765840,0.730362
138,5,382920,382920,765840,0.730362
139,5,382920,382920,765840,0.730362
140,5,382920,382920,765840,0.730362
141,5,382920,382920,765840,0.730362
142,5,382920,382920,765840,0.730362
143,5,382920,382920,765840,0.730362
144,5,382920,382920,765840,0.730362
145,5,382920,382920,765840,0.730362
146,5,382920,382920,765840,0.730362
147,5,382920,382920,765840,0.730362
148,5,382920,382920,765840,0.730362
149,5,382920,382920,765840,0.730362
150,5,382920,382920,765840,0.730362
151,5,382920,382920,765840,0.730362
152,5,382920,382920,765840,0.730362
153,5,382920,382920,765840,0.730362
154,5,382920,382920,765840,0.730362
