Round, Selected Clients
0, 2, 4, 7, 5, 1
1, 1, 9, 5, 4, 0
2, 4, 2, 1, 7, 3
3, 1, 9, 2, 3, 4
4, 7, 0, 9, 1, 5
5, 8, 0, 2, 3, 1
6, 7, 5, 6, 2, 1
7, 8, 0, 7, 2, 1
8, 0, 7, 5, 8, 4
9, 5, 6, 8, 7, 2
10, 6, 0, 2, 3, 1
11, 3, 5, 7, 8, 1
12, 7, 1, 3, 8, 5
13, 8, 7, 2, 9, 5
14, 4, 0, 6, 3, 5
15, 2, 5, 7, 0, 1
16, 2, 7, 8, 6, 0
17, 2, 7, 0, 5, 3
18, 2, 5, 3, 8, 0
19, 4, 9, 3, 6, 5
20, 4, 5, 2, 7, 6
21, 6, 4, 9, 1, 3
22, 1, 5, 7, 9, 3
23, 6, 3, 5, 4, 1
24, 6, 7, 4, 0, 3
25, 9, 3, 6, 0, 8
26, 3, 6, 9, 8, 4
27, 0, 1, 4, 6, 9
28, 7, 9, 3, 6, 4
29, 8, 4, 3, 0, 1
30, 0, 6, 4, 7, 3
31, 1, 0, 2, 6, 8
32, 5, 0, 1, 6, 8
33, 3, 7, 1, 9, 0
34, 7, 8, 1, 2, 0
35, 3, 1, 5, 2, 9
36, 1, 5, 2, 7, 4
37, 5, 3, 2, 4, 7
38, 5, 6, 1, 9, 2
39, 9, 1, 2, 6, 5
40, 4, 8, 7, 6, 1
41, 3, 0, 8, 2, 5
42, 3, 0, 8, 2, 4
43, 4, 6, 3, 7, 8
44, 7, 4, 8, 6, 2
45, 5, 1, 3, 0, 6
46, 7, 6, 1, 9, 0
47, 8, 1, 4, 3, 2
48, 3, 8, 1, 5, 4
49, 3, 0, 6, 5, 4
50, 5, 6, 8, 2, 4
51, 7, 0, 6, 9, 2
52, 3, 8, 1, 7, 0
53, 8, 5, 7, 2, 9
54, 3, 4, 5, 9, 8
55, 0, 7, 1, 4, 3
56, 8, 0, 4, 2, 3
57, 4, 6, 0, 7, 5
58, 3, 7, 4, 2, 1
59, 6, 1, 3, 7, 2
60, 6, 1, 4, 2, 5
61, 1, 0, 5, 9, 6
62, 1, 8, 0, 6, 3
63, 7, 8, 5, 6, 2
64, 7, 5, 0, 9, 8
65, 8, 2, 5, 6, 1
66, 2, 8, 6, 1, 3
67, 7, 9, 2, 5, 8
68, 2, 6, 8, 5, 1
69, 4, 3, 9, 8, 6
70, 9, 7, 8, 4, 5
71, 2, 9, 3, 1, 6
72, 5, 9, 7, 0, 8
73, 9, 5, 8, 4, 1
74, 6, 4, 0, 1, 5
75, 3, 2, 4, 1, 7
76, 1, 9, 3, 2, 4
77, 9, 4, 8, 1, 2
78, 8, 6, 5, 0, 3
79, 3, 1, 8, 2, 7
80, 7, 4, 3, 9, 1
81, 9, 1, 2, 6, 0
82, 2, 4, 6, 7, 3
83, 2, 8, 9, 6, 3
84, 1, 9, 3, 7, 5
85, 9, 2, 6, 1, 5
86, 6, 9, 7, 0, 4
87, 5, 2, 7, 4, 6
88, 2, 0, 6, 1, 4
89, 9, 3, 8, 4, 2
90, 2, 3, 4, 8, 7
91, 0, 3, 4, 5, 7
92, 1, 2, 3, 8, 5
93, 7, 0, 6, 5, 2
94, 5, 7, 9, 6, 2
95, 4, 1, 5, 9, 3
96, 7, 2, 0, 5, 8
97, 9, 8, 3, 5, 2
98, 6, 2, 1, 0, 3
99, 3, 5, 9, 7, 4
100, 5, 9, 4, 0, 2
101, 7, 3, 8, 1, 5
102, 7, 4, 8, 5, 9
103, 7, 5, 4, 1, 6
104, 8, 5, 1, 7, 9
105, 4, 8, 5, 2, 9
106, 7, 5, 8, 4, 0
107, 1, 2, 7, 4, 8
108, 2, 8, 0, 4, 7
109, 8, 1, 7, 6, 5
110, 4, 2, 9, 0, 5
111, 4, 0, 1, 7, 6
112, 7, 6, 1, 4, 0
113, 3, 9, 1, 5, 8
114, 4, 5, 3, 6, 0
115, 4, 5, 8, 3, 0
116, 6, 5, 7, 8, 4
117, 7, 9, 1, 3, 6
118, 2, 8, 3, 6, 9
119, 4, 6, 1, 9, 7
120, 7, 5, 1, 4, 3
121, 9, 4, 7, 5, 0
122, 2, 3, 0, 6, 8
123, 7, 8, 4, 6, 5
124, 3, 4, 2, 1, 0
125, 6, 4, 3, 9, 2
126, 1, 9, 5, 3, 6
127, 7, 1, 5, 4, 8
128, 4, 6, 3, 1, 5
129, 8, 5, 2, 6, 7
130, 5, 6, 9, 0, 3
131, 3, 4, 2, 7, 6
132, 3, 9, 4, 8, 2
133, 4, 3, 1, 5, 6
134, 2, 8, 5, 7, 9
135, 5, 3, 1, 9, 6
136, 7, 6, 8, 0, 1
137, 5, 8, 3, 4, 0
138, 8, 1, 0, 3, 9
139, 2, 6, 0, 3, 8
140, 8, 5, 0, 6, 3
141, 3, 0, 2, 8, 7
142, 7, 6, 3, 8, 9
143, 4, 5, 8, 6, 3
144, 5, 6, 7, 8, 3
145, 0, 4, 7, 2, 3
146, 3, 6, 5, 7, 1
147, 6, 2, 7, 0, 1
148, 5, 2, 1, 8, 3
149, 3, 5, 7, 2, 8
150, 3, 8, 0, 4, 1
151, 3, 7, 1, 6, 8
152, 1, 5, 6, 7, 9
153, 1, 0, 3, 6, 8
154, 1, 7, 0, 5, 4
155, 9, 7, 3, 2, 1
156, 6, 7, 5, 2, 1
157, 2, 0, 1, 8, 5
158, 8, 1, 3, 9, 7
159, 4, 9, 7, 6, 0
160, 0, 4, 8, 5, 6
161, 9, 6, 3, 5, 8
162, 3, 9, 4, 2, 8
163, 8, 7, 9, 2, 5
164, 4, 1, 9, 6, 3
165, 1, 2, 3, 8, 6
166, 6, 2, 5, 0, 9
167, 6, 1, 3, 7, 4
