Round, Selected Clients
1, 8, 9, 7, 1, 6, 2, 3
2, 4, 5, 2, 6, 7, 1, 9
3, 2, 4, 7, 5, 9, 8, 0
4, 3, 7, 9, 2, 6, 4, 8
5, 8, 3, 2, 5, 7, 9, 0
6, 0, 9, 4, 1, 8, 7, 6
7, 5, 8, 6, 2, 1, 4, 0
8, 7, 9, 5, 0, 4, 2, 3
9, 0, 2, 8, 7, 5, 1, 6
10, 8, 4, 3, 5, 0, 2, 7
11, 3, 2, 4, 5, 0, 9, 7
12, 0, 7, 1, 5, 2, 6, 9
13, 4, 7, 3, 5, 6, 8, 1
14, 0, 2, 8, 4, 6, 1, 7
15, 8, 1, 7, 9, 3, 0, 4
16, 1, 5, 6, 9, 3, 0, 7
17, 2, 9, 3, 8, 7, 1, 0
18, 3, 0, 4, 6, 1, 9, 8
19, 5, 2, 3, 1, 7, 4, 0
20, 4, 3, 8, 2, 0, 6, 1
21, 9, 7, 3, 4, 0, 2, 1
22, 2, 1, 3, 4, 7, 8, 0
23, 2, 8, 7, 6, 3, 4, 0
24, 7, 6, 4, 0, 2, 5, 1
25, 2, 9, 0, 1, 8, 5, 3
26, 9, 7, 3, 8, 4, 6, 5
27, 7, 2, 1, 9, 8, 0, 4
28, 2, 8, 6, 9, 7, 1, 5
29, 0, 6, 9, 2, 8, 1, 3
30, 7, 8, 3, 4, 5, 9, 2
31, 3, 7, 2, 4, 1, 6, 9
32, 8, 4, 3, 6, 1, 7, 2
33, 0, 9, 1, 3, 8, 2, 4
34, 3, 0, 8, 1, 5, 7, 4
35, 6, 8, 2, 1, 9, 0, 3
36, 3, 5, 8, 7, 9, 4, 2
37, 7, 1, 6, 8, 5, 9, 0
38, 0, 5, 6, 2, 3, 8, 9
39, 1, 5, 9, 7, 4, 6, 3
40, 9, 6, 5, 8, 1, 3, 2
41, 8, 1, 3, 5, 7, 6, 4
42, 2, 0, 6, 4, 5, 1, 9
43, 6, 7, 0, 1, 9, 5, 2
44, 9, 1, 2, 3, 0, 8, 4
45, 6, 0, 1, 4, 5, 7, 2
46, 3, 2, 6, 4, 1, 5, 7
47, 2, 9, 0, 3, 7, 1, 8
48, 9, 4, 1, 5, 2, 3, 8
49, 7, 8, 9, 1, 2, 5, 3
50, 7, 4, 1, 8, 3, 0, 6
51, 0, 9, 2, 3, 1, 6, 7
52, 3, 7, 0, 2, 5, 6, 4
53, 0, 1, 8, 6, 2, 9, 4
54, 8, 4, 2, 9, 3, 0, 1
55, 0, 1, 9, 7, 5, 8, 3
56, 4, 2, 5, 3, 7, 0, 6
57, 0, 3, 6, 2, 5, 1, 9
58, 3, 0, 9, 1, 7, 8, 2
59, 2, 9, 6, 3, 1, 0, 5
60, 8, 1, 7, 3, 5, 9, 0
61, 8, 6, 4, 1, 0, 3, 9
62, 1, 4, 9, 0, 2, 8, 6
63, 4, 5, 6, 0, 3, 7, 8
64, 4, 2, 5, 6, 9, 0, 3
65, 6, 3, 0, 5, 1, 4, 8
66, 8, 6, 0, 1, 9, 2, 3
67, 5, 8, 3, 4, 2, 9, 7
68, 7, 6, 4, 5, 8, 9, 1
69, 3, 7, 9, 8, 0, 1, 6
70, 5, 9, 7, 6, 2, 4, 1
71, 1, 4, 0, 7, 2, 8, 6
72, 7, 5, 3, 8, 0, 2, 1
73, 3, 0, 5, 9, 4, 8, 2
74, 1, 3, 8, 9, 2, 4, 5
75, 9, 6, 8, 3, 5, 4, 0
76, 5, 6, 7, 8, 2, 9, 4
77, 6, 0, 4, 3, 1, 5, 8
78, 1, 6, 5, 9, 0, 3, 8
79, 7, 5, 9, 4, 1, 2, 8
80, 4, 8, 6, 5, 7, 9, 0
81, 1, 0, 8, 6, 5, 9, 4
82, 3, 7, 4, 5, 6, 9, 0
83, 2, 6, 1, 5, 0, 3, 4
84, 6, 3, 5, 8, 9, 7, 0
85, 7, 0, 6, 4, 5, 2, 3
86, 0, 8, 2, 1, 5, 9, 7
87, 9, 8, 3, 0, 1, 4, 7
88, 6, 7, 4, 3, 2, 0, 1
89, 2, 0, 5, 1, 7, 9, 4
90, 3, 1, 6, 0, 9, 5, 7
91, 3, 8, 7, 2, 4, 0, 6
92, 6, 1, 4, 5, 2, 7, 9
93, 7, 9, 5, 4, 2, 0, 1
94, 0, 9, 7, 8, 4, 1, 3
95, 1, 4, 2, 5, 3, 6, 9
96, 1, 2, 0, 7, 6, 3, 5
97, 4, 6, 7, 1, 5, 8, 3
98, 9, 2, 6, 1, 3, 5, 8
99, 5, 7, 4, 3, 9, 2, 8
100, 3, 9, 5, 6, 7, 8, 0
101, 3, 1, 6, 0, 2, 9, 8
102, 6, 2, 3, 9, 4, 0, 8
103, 3, 9, 2, 4, 1, 5, 0
104, 5, 2, 7, 6, 8, 0, 4
105, 7, 0, 1, 4, 3, 6, 8
106, 9, 4, 5, 0, 6, 8, 7
107, 9, 7, 5, 1, 8, 4, 6
108, 8, 3, 5, 4, 6, 0, 1
109, 7, 6, 4, 3, 0, 1, 2
110, 7, 6, 8, 3, 9, 0, 1
111, 6, 9, 4, 0, 8, 7, 3
112, 0, 2, 9, 3, 6, 8, 4
113, 8, 0, 9, 3, 2, 7, 5
114, 7, 6, 1, 3, 2, 4, 9
115, 7, 8, 9, 3, 0, 5, 1
116, 7, 2, 9, 5, 8, 3, 1
117, 6, 9, 2, 7, 0, 3, 8
118, 1, 3, 8, 6, 2, 5, 9
119, 4, 9, 6, 5, 1, 8, 3
120, 3, 4, 6, 7, 2, 5, 8
121, 8, 1, 6, 0, 5, 2, 7
122, 9, 7, 1, 8, 2, 5, 3
123, 5, 4, 2, 8, 0, 3, 9
124, 9, 8, 1, 0, 4, 3, 7
125, 2, 0, 5, 7, 8, 9, 4
126, 4, 8, 9, 1, 7, 6, 2
127, 3, 8, 4, 9, 0, 7, 5
128, 1, 2, 3, 8, 4, 9, 5
129, 1, 2, 4, 7, 6, 0, 5
130, 0, 2, 6, 9, 8, 1, 3
131, 5, 1, 2, 7, 8, 9, 0
132, 6, 0, 7, 1, 2, 9, 8
133, 8, 0, 5, 2, 6, 3, 1
134, 1, 0, 3, 4, 9, 8, 7
135, 0, 6, 2, 8, 7, 9, 3
136, 2, 0, 8, 3, 4, 7, 1
137, 4, 3, 7, 5, 1, 8, 6
138, 0, 9, 7, 6, 4, 1, 5
139, 2, 0, 3, 1, 4, 7, 6
140, 9, 1, 5, 4, 7, 3, 2
141, 6, 1, 4, 0, 9, 2, 8
142, 4, 3, 6, 7, 8, 5, 0
143, 8, 9, 2, 3, 1, 7, 4
144, 1, 3, 0, 5, 4, 9, 2
145, 8, 2, 0, 4, 6, 5, 7
146, 2, 8, 4, 9, 7, 5, 6
147, 9, 1, 5, 0, 8, 7, 6
148, 9, 6, 4, 1, 0, 3, 7
149, 1, 8, 4, 2, 0, 9, 5
150, 6, 1, 9, 0, 8, 5, 4
151, 2, 6, 7, 9, 1, 4, 8
152, 8, 9, 7, 5, 6, 3, 4
153, 4, 1, 2, 5, 8, 0, 6
154, 2, 3, 1, 7, 4, 8, 5
155, 2, 4, 5, 0, 3, 6, 8
156, 3, 5, 0, 9, 4, 8, 2
157, 6, 0, 5, 3, 4, 9, 1
158, 9, 8, 7, 0, 4, 5, 2
159, 1, 9, 4, 6, 7, 2, 5
160, 4, 6, 8, 2, 9, 5, 0
161, 6, 3, 9, 7, 0, 5, 2
162, 0, 3, 7, 2, 6, 1, 4
163, 0, 5, 6, 7, 8, 1, 4
164, 0, 9, 4, 2, 5, 8, 6
165, 6, 3, 2, 8, 0, 1, 4
166, 9, 6, 8, 3, 4, 7, 1
167, 9, 1, 7, 4, 0, 8, 5
168, 2, 7, 6, 4, 8, 0, 1
169, 7, 3, 8, 0, 2, 4, 1
170, 9, 6, 5, 4, 3, 2, 7
171, 3, 0, 6, 1, 2, 5, 4
172, 0, 1, 4, 6, 2, 8, 3
173, 3, 4, 5, 7, 0, 8, 1
174, 2, 9, 6, 8, 5, 7, 4
175, 5, 3, 1, 4, 7, 6, 0
176, 5, 7, 8, 2, 1, 0, 9
177, 9, 8, 2, 3, 4, 1, 0
178, 2, 8, 3, 5, 6, 9, 7
179, 9, 5, 8, 2, 6, 0, 1
180, 7, 0, 9, 8, 1, 5, 6
181, 7, 1, 9, 2, 8, 3, 6
182, 4, 6, 2, 5, 3, 1, 8
183, 3, 4, 0, 5, 8, 2, 1
184, 2, 1, 8, 5, 0, 7, 9
185, 0, 5, 2, 9, 1, 7, 8
186, 6, 4, 0, 8, 9, 7, 3
187, 2, 6, 4, 9, 8, 1, 5
188, 4, 6, 9, 3, 0, 1, 5
189, 9, 1, 8, 4, 5, 6, 0
190, 3, 1, 2, 9, 4, 8, 0
191, 0, 1, 6, 5, 3, 8, 7
192, 9, 1, 4, 3, 5, 7, 6
193, 9, 8, 0, 1, 5, 4, 6
194, 3, 1, 5, 4, 7, 9, 0
195, 8, 9, 7, 3, 2, 4, 5
196, 8, 9, 6, 3, 1, 2, 7
197, 5, 7, 9, 6, 3, 8, 0
198, 6, 0, 5, 7, 9, 1, 4
199, 1, 7, 5, 6, 2, 3, 0
200, 8, 5, 1, 6, 2, 4, 9
