Round, Selected Clients
0, 9, 0, 2
1, 5, 6, 8
2, 8, 1, 0
3, 7, 2, 8
4, 4, 1, 2
5, 9, 7, 0
6, 6, 7, 8
7, 9, 0, 2
8, 7, 6, 5
9, 0, 9, 5
10, 6, 2, 9
11, 3, 2, 9
12, 7, 1, 2
13, 2, 0, 3
14, 5, 3, 1
15, 0, 5, 9
16, 3, 0, 2
17, 6, 8, 3
18, 1, 9, 2
19, 2, 4, 3
20, 2, 3, 1
21, 2, 8, 1
22, 2, 8, 7
23, 6, 9, 2
24, 1, 5, 4
25, 8, 2, 5
26, 1, 7, 2
27, 6, 7, 1
28, 3, 7, 0
29, 0, 1, 4
30, 0, 5, 1
31, 2, 3, 7
32, 7, 2, 9
33, 1, 6, 3
34, 6, 2, 9
35, 1, 3, 2
36, 1, 3, 0
37, 9, 0, 1
38, 4, 6, 5
39, 0, 4, 6
40, 9, 4, 8
41, 6, 2, 0
42, 1, 3, 0
43, 3, 7, 6
44, 5, 1, 8
45, 8, 5, 6
46, 8, 2, 4
47, 9, 6, 0
48, 8, 9, 6
49, 4, 8, 3
50, 6, 1, 8
51, 5, 7, 3
52, 3, 2, 0
53, 7, 5, 1
54, 3, 0, 1
55, 5, 7, 6
56, 6, 7, 5
57, 4, 7, 9
58, 3, 4, 7
59, 9, 0, 2
60, 4, 7, 1
61, 1, 6, 8
62, 4, 7, 6
63, 9, 1, 6
64, 5, 2, 8
65, 6, 0, 3
66, 8, 4, 1
67, 5, 6, 1
68, 9, 3, 5
69, 0, 9, 7
70, 6, 1, 2
71, 5, 6, 1
72, 0, 2, 6
73, 1, 9, 8
74, 9, 3, 4
75, 0, 4, 6
76, 4, 7, 6
77, 9, 5, 1
78, 5, 8, 9
79, 8, 1, 5
80, 9, 5, 1
81, 9, 2, 6
82, 4, 3, 2
83, 4, 6, 9
84, 8, 5, 3
85, 5, 8, 9
86, 1, 4, 5
87, 8, 4, 7
88, 7, 9, 5
89, 4, 6, 9
90, 9, 1, 2
91, 5, 6, 0
92, 1, 8, 9
93, 2, 9, 3
94, 3, 7, 5
95, 9, 1, 6
96, 3, 7, 4
97, 9, 1, 5
98, 2, 5, 3
99, 7, 6, 3
100, 3, 5, 1
101, 2, 7, 4
102, 7, 5, 3
103, 2, 8, 9
104, 8, 6, 3
105, 6, 4, 5
106, 8, 9, 6
107, 3, 8, 5
108, 8, 4, 9
109, 2, 9, 8
110, 3, 8, 9
111, 0, 7, 1
112, 9, 4, 2
113, 7, 8, 9
114, 5, 2, 9
115, 8, 9, 3
116, 0, 7, 4
117, 9, 6, 3
118, 3, 9, 1
119, 8, 0, 7
120, 1, 5, 9
121, 7, 2, 6
122, 6, 9, 2
123, 4, 0, 1
124, 4, 3, 5
125, 2, 0, 9
126, 0, 9, 3
127, 8, 9, 2
128, 8, 7, 6
129, 1, 2, 8
130, 3, 4, 9
131, 5, 0, 2
132, 0, 1, 6
133, 9, 5, 2
134, 8, 1, 6
135, 0, 2, 1
136, 6, 3, 0
137, 0, 2, 9
138, 7, 1, 8
139, 5, 0, 6
140, 9, 4, 2
141, 0, 3, 6
142, 2, 3, 8
143, 5, 0, 4
144, 8, 5, 3
145, 8, 3, 0
146, 7, 9, 3
147, 7, 8, 2
148, 5, 2, 1
149, 5, 0, 7
150, 7, 1, 3
151, 6, 8, 1
152, 7, 0, 8
153, 0, 9, 5
