Round, Selected Clients
1, 9, 0, 8, 2
2, 1, 9, 3, 4
3, 1, 3, 4, 8
4, 5, 3, 6, 9
5, 0, 8, 5, 2
6, 6, 0, 9, 7
7, 8, 7, 9, 0
8, 4, 0, 3, 6
9, 1, 3, 9, 7
10, 4, 7, 3, 2
11, 1, 6, 4, 8
12, 5, 7, 2, 1
13, 1, 6, 8, 2
14, 6, 3, 0, 5
15, 9, 6, 7, 4
16, 4, 9, 8, 3
17, 8, 9, 1, 3
18, 8, 1, 4, 9
19, 8, 7, 3, 6
20, 8, 5, 1, 6
21, 5, 9, 4, 1
22, 5, 1, 6, 7
23, 7, 0, 9, 6
24, 0, 8, 4, 9
25, 9, 2, 8, 4
26, 7, 1, 4, 2
27, 7, 4, 0, 6
28, 0, 2, 1, 8
29, 4, 3, 1, 5
30, 5, 9, 8, 1
31, 5, 8, 7, 3
32, 5, 8, 0, 7
33, 8, 7, 1, 5
34, 9, 1, 3, 4
35, 4, 8, 5, 7
36, 3, 6, 9, 1
37, 5, 4, 1, 0
38, 0, 4, 7, 3
39, 2, 3, 1, 0
40, 0, 6, 2, 3
41, 8, 7, 4, 1
42, 2, 9, 1, 4
43, 8, 9, 6, 7
44, 1, 9, 8, 3
45, 3, 0, 6, 4
46, 6, 5, 4, 7
47, 8, 9, 1, 2
48, 6, 7, 9, 8
49, 7, 3, 9, 2
50, 9, 8, 2, 0
51, 5, 0, 6, 9
52, 8, 7, 4, 0
53, 8, 9, 4, 1
54, 4, 6, 0, 3
55, 8, 4, 5, 0
56, 1, 9, 4, 7
57, 6, 2, 1, 4
58, 9, 8, 1, 5
59, 9, 1, 6, 4
60, 3, 9, 0, 2
61, 4, 3, 5, 7
62, 9, 7, 6, 0
63, 0, 5, 1, 3
64, 4, 5, 3, 7
65, 8, 5, 2, 3
66, 5, 2, 9, 1
67, 4, 5, 0, 2
68, 5, 8, 4, 3
69, 4, 7, 1, 5
70, 9, 6, 7, 1
71, 4, 6, 9, 1
72, 7, 0, 4, 1
73, 5, 6, 7, 2
74, 1, 2, 9, 8
75, 0, 3, 9, 8
76, 1, 6, 5, 8
77, 3, 9, 2, 8
78, 2, 6, 8, 9
79, 8, 5, 2, 3
80, 8, 4, 6, 9
81, 5, 1, 7, 8
82, 4, 2, 9, 3
83, 3, 4, 8, 2
84, 9, 7, 5, 6
85, 0, 4, 9, 2
86, 4, 2, 8, 0
87, 2, 7, 6, 1
88, 8, 9, 6, 0
89, 5, 1, 2, 3
90, 4, 9, 2, 7
91, 5, 6, 9, 7
92, 3, 9, 4, 2
93, 0, 5, 6, 7
94, 3, 8, 9, 4
95, 0, 3, 9, 7
96, 9, 0, 7, 4
97, 7, 8, 9, 6
98, 2, 0, 7, 1
99, 1, 4, 2, 7
100, 0, 7, 2, 3
101, 4, 2, 1, 6
102, 0, 1, 4, 5
103, 6, 1, 7, 2
104, 0, 3, 9, 8
105, 8, 2, 6, 1
106, 8, 0, 1, 6
107, 6, 2, 9, 1
108, 1, 4, 5, 8
109, 6, 1, 7, 2
110, 1, 4, 0, 7
111, 9, 6, 3, 8
112, 2, 8, 1, 4
113, 7, 1, 3, 9
114, 4, 8, 1, 6
115, 3, 0, 9, 4
116, 9, 2, 4, 1
117, 8, 4, 3, 0
118, 4, 9, 2, 1
119, 9, 5, 1, 2
120, 7, 0, 4, 9
121, 3, 1, 0, 4
122, 6, 2, 5, 9
123, 9, 0, 4, 5
124, 1, 8, 4, 7
125, 5, 8, 4, 7
126, 9, 2, 4, 0
127, 8, 5, 3, 2
128, 5, 3, 6, 7
129, 4, 0, 5, 9
130, 2, 6, 9, 1
131, 0, 6, 9, 4
132, 0, 2, 8, 6
133, 6, 1, 4, 0
134, 5, 4, 1, 2
135, 5, 9, 8, 0
136, 7, 1, 9, 3
137, 4, 8, 7, 1
138, 6, 2, 4, 3
139, 6, 7, 2, 1
140, 3, 6, 4, 1
141, 4, 7, 2, 1
142, 4, 6, 5, 0
143, 0, 3, 4, 5
144, 0, 2, 4, 7
145, 8, 1, 9, 5
146, 1, 3, 6, 8
147, 1, 2, 8, 0
148, 1, 6, 0, 2
149, 2, 5, 9, 3
150, 6, 8, 2, 0
151, 8, 7, 6, 5
152, 8, 1, 5, 7
153, 2, 7, 5, 1
154, 2, 4, 0, 5
155, 1, 0, 9, 8
156, 0, 4, 9, 1
157, 2, 5, 6, 7
158, 4, 5, 9, 1
159, 5, 4, 9, 7
160, 4, 3, 9, 1
161, 1, 8, 5, 6
162, 1, 2, 8, 5
163, 9, 3, 2, 1
164, 0, 2, 6, 5
165, 4, 8, 3, 6
166, 3, 7, 1, 5
167, 6, 3, 0, 2
168, 1, 4, 3, 2
169, 5, 9, 7, 4
170, 6, 5, 2, 7
171, 0, 9, 8, 7
172, 0, 8, 1, 3
173, 4, 8, 3, 7
174, 2, 1, 4, 3
175, 3, 9, 1, 8
176, 1, 0, 5, 4
177, 3, 8, 9, 7
178, 7, 8, 6, 4
179, 1, 0, 2, 8
180, 2, 5, 9, 8
181, 9, 8, 5, 6
182, 1, 9, 3, 6
183, 6, 3, 9, 2
184, 8, 6, 4, 7
185, 7, 8, 6, 4
186, 4, 9, 7, 1
187, 7, 2, 8, 5
188, 7, 6, 0, 1
189, 2, 0, 5, 9
190, 7, 8, 0, 9
191, 3, 9, 5, 4
192, 7, 4, 3, 5
193, 9, 4, 2, 0
194, 2, 3, 0, 4
195, 5, 4, 9, 2
196, 5, 3, 4, 2
197, 0, 2, 6, 5
198, 7, 4, 0, 6
199, 7, 9, 4, 0
200, 1, 0, 5, 6
